Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
61,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,eng Premier League,29,1991,20.6,81.3,79.1,2.14,1.55,0.44,11.2,4.13,0.19,0.00,0.00,0.00,0.00,59.3,9.47,12.5,4.03,73.3,2.33,0.15,0.29,72.7,0.24,0.87,1.70,1.12,Matches
62,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,24.1,48.0,45.8,2.20,1.91,0.04,8.38,2.95,0.25,0.04,0.04,0.00,0.00,32.4,4.36,11.2,7.05,36.7,2.12,0.25,0.33,39.9,0.17,1.29,0.91,0.79,Matches
63,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,61.0,59.3,1.67,1.67,0.00,4.10,1.74,0.14,0.00,0.00,0.00,0.00,44.1,2.99,13.9,54.4,3.19,2.22,0.00,0.14,49.8,0.42,0.76,1.18,0.69,Matches
64,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,54.9,52.4,2.41,2.01,0.08,3.94,2.05,0.04,0.00,0.00,0.00,0.00,37.2,4.82,12.8,10.2,40.6,2.65,0.40,0.20,45.9,0.08,0.76,0.84,0.52,Matches
65,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,es La Liga,25,1995,9.2,25.1,23.7,1.41,0.11,0.11,6.20,1.30,5.00,0.33,0.11,0.22,0.00,13.0,5.33,6.74,1.96,19.6,1.30,0.76,0.11,14.1,0.00,0.87,0.65,2.83,Matches
66,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,22,1998,0.5,84.0,84.0,0.00,0.00,0.00,12.0,4.00,0.00,0.00,0.00,0.00,0.00,72.0,6.00,6.00,72.0,8.00,0.00,0.00,0.00,76.0,0.00,2.00,2.00,0.00,Matches
67,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,es La Liga,22,1998,15.2,38.9,34.1,4.80,2.37,0.07,6.12,1.91,1.58,1.97,0.72,0.79,0.07,23.5,4.74,10.7,32.7,3.36,1.91,0.33,0.07,26.8,0.46,1.05,1.38,1.12,Matches
68,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,0.2,55.0,40.0,15.0,10.0,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,35.0,5.00,15.0,5.00,40.0,0.00,0.00,10.0,35.0,0.00,5.00,0.00,0.00,Matches
69,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,87.3,72.8,14.5,1.69,0.27,7.36,4.36,5.40,3.09,0.50,1.69,0.12,48.3,15.8,23.2,9.94,65.5,1.87,9.67,0.18,65.8,0.33,1.10,1.87,3.06,Matches
70,Alfon\Alfon,es ESP,MF,Celta Vigo,es La Liga,21,1999,0.4,37.5,37.5,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,30.0,5.00,2.50,2.50,32.5,2.50,0.00,0.00,37.5,0.00,0.00,0.00,0.00,Matches
